Date,Actual_Close,Predicted_Close_NN,Predicted_Close_LR,Predicted_Close_RF,Predicted_Close_GB,Stock
2015-01-05,32.869998931884766,33.634552,33.98563519973044,33.85599899291992,33.56949204346915,LVMUY
2015-01-06,32.41999816894531,33.22337,33.5091274411951,32.905999946594235,33.2113010477314,LVMUY
2015-01-07,32.29999923706055,32.515747,32.85310274696992,32.94699954986572,32.901512989130154,LVMUY
2015-01-08,32.880001068115234,31.93185,32.309423269790635,32.19699993133545,32.39079152504743,LVMUY
2015-01-09,32.66999816894531,32.68042,32.88918975159092,33.388999938964844,33.028563908266506,LVMUY
2015-01-12,33.43000030517578,32.66578,33.027350393761154,33.47799987792969,33.028563908266506,LVMUY
2015-01-13,33.720001220703125,33.18936,33.571757744482674,33.66600036621094,33.56949204346915,LVMUY
2015-01-14,34.0,33.40409,33.77773113641991,33.683000564575195,33.56949204346915,LVMUY
2015-01-15,34.04999923706055,33.859447,34.056454084542914,34.175,33.86127900352206,LVMUY
2015-01-16,34.209999084472656,33.92443,34.22323887203545,34.28699989318848,34.3294766888304,LVMUY
2015-01-20,34.22999954223633,33.54503,33.594525764889106,34.10399971008301,33.56949204346915,LVMUY
2015-01-21,31.809999465942383,33.988167,34.26590185608709,34.33900032043457,34.3294766888304,LVMUY
2015-01-22,31.549999237060547,31.523863,32.00327469072391,32.0069995880127,32.179288687922956,LVMUY
2015-01-23,31.709999084472656,31.344576,31.81373167639375,31.74699993133545,32.15193491658945,LVMUY
2015-01-26,32.61000061035156,31.644821,32.08903591395026,32.27800025939941,32.40321718538204,LVMUY
2015-01-27,32.95000076293945,32.25599,32.56688837976048,32.55699996948242,32.519033318007864,LVMUY
2015-01-28,32.34000015258789,32.784332,33.043556450962726,33.052999877929686,33.46086731076183,LVMUY
2015-01-29,32.849998474121094,32.61276,32.920876107076474,32.92499961853027,33.461461336346055,LVMUY
2015-01-30,32.209999084472656,32.65265,33.010669983882295,32.697000122070314,33.267691115078925,LVMUY
2015-02-02,32.40999984741211,32.28106,32.74889234834921,32.42900009155274,33.01528375103145,LVMUY
2015-02-03,33.900001525878906,32.310783,32.7545283091896,32.57899971008301,33.01528375103145,LVMUY
2015-02-04,35.25,33.339607,33.10946085890493,33.78599967956543,33.78391909429155,LVMUY
2015-02-05,35.04999923706055,35.419052,35.45390048295549,35.28699951171875,35.59039411425332,LVMUY
2015-02-06,34.209999084472656,34.909794,35.23251800796826,34.84000015258789,35.126960227621424,LVMUY
2015-02-09,34.04999923706055,34.490532,34.86258639905005,34.233999252319336,34.75565774302826,LVMUY
2015-02-10,35.34000015258789,33.918625,34.23469372180013,34.417000198364256,33.780546907941044,LVMUY
2015-02-11,35.33000183105469,35.17763,35.361021631267974,35.121999740600586,35.34408677168787,LVMUY
2015-02-12,36.279998779296875,35.410564,35.673538472310916,35.38999977111816,35.76795240257828,LVMUY
2015-02-13,36.130001068115234,36.334038,36.48029797375295,36.43999977111817,36.81144361633911,LVMUY
2015-02-17,35.95000076293945,36.27621,36.51988931510538,36.15799980163574,36.81144361633911,LVMUY
2015-02-18,36.27000045776367,35.939674,36.070469751544096,35.292999267578125,35.86621981231532,LVMUY
2015-02-19,36.400001525878906,36.265167,36.344697910660614,36.23499984741211,36.637660910558736,LVMUY
2015-02-20,36.9900016784668,36.59664,36.63515783416869,36.42800025939941,36.82093854558628,LVMUY
2015-02-23,36.52000045776367,36.985462,36.537249821876365,30.792000198364256,36.06813549103985,LVMUY
